"SCHOOL_CODE","COUNTY","PUBLIC_PRIVATE","PUBLIC_SCHOOL_DISTRICT","CITY","SCHOOL_NAME","ENROLLMENT","PERCENT","lookup_address","lon","lat"
6955967,"SANTA CLARA","PRIVATE","","LOS ALTOS","WALDORF SCHOOL OF THE PENINSULA",45,60,"WALDORF SCHOOL OF THE PENINSULA LOS ALTOS , CA",-122.0955057,37.3431562
6956833,"NAPA","PRIVATE","","ST. HELENA","ST. HELENA MONTESSORI",22,95,"ST. HELENA MONTESSORI ST. HELENA , CA",-122.4541822,38.5077038
6956882,"ORANGE","PRIVATE","","ORANGE","SALEM LUTHERAN",34,91,"SALEM LUTHERAN ORANGE , CA",-117.7848535,33.8127316
6957708,"SAN BERNARDINO","PRIVATE","","REDLANDS","PACKINGHOUSE CHRISTIAN ACADEMY",22,95,"PACKINGHOUSE CHRISTIAN ACADEMY REDLANDS , CA",-117.2091046,34.0773121
6958722,"VENTURA","PRIVATE","","OXNARD","PEPPERMINT JUNCTION",37,95,"PEPPERMINT JUNCTION OXNARD , CA",-119.1507396,34.2184589
6958987,"CONTRA COSTA","PRIVATE","","EL CERRITO","PROSPECT SIERRA SCHOOL",35,95,"PROSPECT SIERRA SCHOOL EL CERRITO , CA",-122.298356,37.915084
6959548,"RIVERSIDE","PRIVATE","","PALM DESERT","SACRED HEART",48,95,"SACRED HEART PALM DESERT , CA",-116.3655556,33.7305556
6960694,"ALAMEDA","PRIVATE","","OAKLAND","ST. PAULS EPISCOPAL",35,95,"ST. PAULS EPISCOPAL OAKLAND , CA",-122.259996,37.811256
6960728,"LOS ANGELES","PRIVATE","","ALHAMBRA","ALL SOULS SCHOOL",91,88,"ALL SOULS SCHOOL ALHAMBRA , CA",-118.1399361,34.0904544
6960736,"LOS ANGELES","PRIVATE","","MANHATTAN BEACH","AMERICAN MARTYRS SCHOOL",72,98,"AMERICAN MARTYRS SCHOOL MANHATTAN BEACH , CA",-118.4047302,33.8907554
6960751,"LOS ANGELES","PRIVATE","","LOS ANGELES","ASCENSION ELEMENTARY CATHOLIC",26,95,"ASCENSION ELEMENTARY CATHOLIC LOS ANGELES , CA",-118.2830781,33.9335343
6960793,"LOS ANGELES","PRIVATE","","LA MIRADA","BEATITUDES OF OUR LORD ELEMENTARY",55,87,"BEATITUDES OF OUR LORD ELEMENTARY LA MIRADA , CA",-117.9948378,33.912268
6960827,"LOS ANGELES","PRIVATE","","LONG BEACH","BETHANY BAPTIST ELEMENTARY",33,91,"BETHANY BAPTIST ELEMENTARY LONG BEACH , CA",-118.1335866,33.7982601
6960850,"LOS ANGELES","PRIVATE","","LONG BEACH","BETHANY LUTHERAN",24,95,"BETHANY LUTHERAN LONG BEACH , CA",-118.133235,33.8426381
6960918,"LOS ANGELES","PRIVATE","","LOS ANGELES","CATHEDRAL CHAPEL ELEMENTARY",20,95,"CATHEDRAL CHAPEL ELEMENTARY LOS ANGELES , CA",-118.3478083,34.060925
6961023,"LOS ANGELES","PRIVATE","","LOS ANGELES","DOLORES MISSION SCHOOL",40,83,"DOLORES MISSION SCHOOL LOS ANGELES , CA",-118.2227375,34.0454269
6961049,"LOS ANGELES","PRIVATE","","SHERMAN OAKS","EMEK HEBREW ACADEMYTEICHMAN FAMILY TORAH CENTER",80,96,"EMEK HEBREW ACADEMYTEICHMAN FAMILY TORAH CENTER SHERMAN OAKS , CA",-118.4686062,34.1647402
6961585,"LOS ANGELES","PRIVATE","","ENCINO","CHILDS WORLD SCHOOL",23,95,"CHILDS WORLD SCHOOL ENCINO , CA",-118.5267772,34.1808453
6962260,"LOS ANGELES","PRIVATE","","PACOIMA","GUARDIAN ANGEL ELEMENTARY",32,66,"GUARDIAN ANGEL ELEMENTARY PACOIMA , CA",-118.4144239,34.2684949
6962286,"LOS ANGELES","PRIVATE","","BEVERLY HILLS","HARKHAM HILLEL HEBREW ACADEMY",47,95,"HARKHAM HILLEL HEBREW ACADEMY BEVERLY HILLS , CA",-118.390011,34.058931
6962310,"LOS ANGELES","PRIVATE","","GLENDALE","HOLY FAMILY ELEMENTARY",31,84,"HOLY FAMILY ELEMENTARY GLENDALE , CA",-118.2521518,34.1412794
6962328,"LOS ANGELES","PRIVATE","","SOUTH PASADENA","HOLY FAMILY",29,95,"HOLY FAMILY SOUTH PASADENA , CA",-118.1535354,34.1080611
6962344,"LOS ANGELES","PRIVATE","","LONG BEACH","HOLY INNOCENTS ELEMENTARY",27,95,"HOLY INNOCENTS ELEMENTARY LONG BEACH , CA",-118.1934016,33.8027198
6962351,"LOS ANGELES","PRIVATE","","LOS ANGELES","HOLY NAME OF JESUS CATHOLIC ELEMENTARY",26,92,"HOLY NAME OF JESUS CATHOLIC ELEMENTARY LOS ANGELES , CA",-118.3134937,34.0257894
6962369,"LOS ANGELES","PRIVATE","","SAN DIMAS","HOLY NAME OF MARY",35,95,"HOLY NAME OF MARY SAN DIMAS , CA",-117.7935514,34.1063135
6962401,"LOS ANGELES","PRIVATE","","SAN PEDRO","HOLY TRINITY SCHOOL",51,98,"HOLY TRINITY SCHOOL SAN PEDRO , CA",-118.3028148,33.7443677
6962435,"LOS ANGELES","PRIVATE","","LOS ANGELES","IMMACULATE CONCEPTION",49,95,"IMMACULATE CONCEPTION LOS ANGELES , CA",-118.2713511,34.0504567
6962450,"LOS ANGELES","PRIVATE","","LOS ANGELES","IMMACULATE HEART OF MARY ELEMENTARY",29,95,"IMMACULATE HEART OF MARY ELEMENTARY LOS ANGELES , CA",-118.2980059,34.0902576
6962559,"LOS ANGELES","PRIVATE","","GARDENA","MARIA REGINA",35,95,"MARIA REGINA GARDENA , CA",-118.3172002,33.9083966
6962567,"LOS ANGELES","PRIVATE","","MONTEBELLO","OUR LADY OF THE MIRACULOUS MEDAL",27,95,"OUR LADY OF THE MIRACULOUS MEDAL MONTEBELLO , CA",-118.1280061,34.0303586
6962575,"LOS ANGELES","PRIVATE","","PACOIMA","MARY IMMACULATE ELEMENTARY SCHOOL",21,90,"MARY IMMACULATE ELEMENTARY SCHOOL PACOIMA , CA",-118.4345203,34.2589534
6962625,"LOS ANGELES","PRIVATE","","PASADENA","MAYFIELD JUNIOR SCHOOL",56,98,"MAYFIELD JUNIOR SCHOOL PASADENA , CA",-118.1433587,34.1390612
6962633,"LOS ANGELES","PRIVATE","","LOS ANGELES","MIRMAN SCHOOL, THE",39,95,"MIRMAN SCHOOL, THE LOS ANGELES , CA",-118.4845584,34.1295291
6962708,"LOS ANGELES","PRIVATE","","LOS ANGELES","MOTHER OF SORROWS",62,98,"MOTHER OF SORROWS LOS ANGELES , CA",-118.2741569,33.9577322
6962724,"LOS ANGELES","PRIVATE","","EL MONTE","NATIVITY",28,95,"NATIVITY EL MONTE , CA",-118.033846,34.0782345
6962740,"LOS ANGELES","PRIVATE","","TORRANCE","NATIVITY CATHOLIC ELEMENTARY",53,57,"NATIVITY CATHOLIC ELEMENTARY TORRANCE , CA",-118.3259671,33.8317179
6962765,"LOS ANGELES","PRIVATE","","LOS ANGELES","NOTRE DAME ACADEMY ELEMENTARY",47,79,"NOTRE DAME ACADEMY ELEMENTARY LOS ANGELES , CA",-118.4190029,34.0335775
6962781,"LOS ANGELES","PRIVATE","","NORTH HOLLYWOOD","OAKWOOD ELEMENTARY",41,95,"OAKWOOD ELEMENTARY NORTH HOLLYWOOD , CA",-118.3838132,34.1650457
6962799,"LOS ANGELES","PRIVATE","","CLAREMONT","OUR LADY OF THE ASSUMPTION",54,98,"OUR LADY OF THE ASSUMPTION CLAREMONT , CA",-117.7234022,34.0967198
6962807,"LOS ANGELES","PRIVATE","","ARTESIA","OUR LADY OF FATIMA",32,95,"OUR LADY OF FATIMA ARTESIA , CA",-118.0794539,33.8618512
6962815,"LOS ANGELES","PRIVATE","","ENCINO","OUR LADY OF GRACE",48,95,"OUR LADY OF GRACE ENCINO , CA",-118.5190109,34.1620588
